U.S. Wildfires October,acres burned,no. fires,acres per fire
2000,195645,7651,25.57
2001,33868,6223,5.44
2002,128571,2009,64.0
2003,170015,6353,26.76
2004,304809,1918,158.92
2005,95393,3414,27.94
2006,326551,2639,123.74
2007,469496,3787,123.98
2008,299720,5403,55.47
2009,91444,2989,30.59
2010,210259,4594,45.77
2011,507724,3399,149.37
2012,200860,3553,56.53
2013,19514,3323,5.87
2014,202883,1946,104.26
2015,323784,3826,84.63
2016,126963,6555,19.37
2017,366641,3408,107.58
2018,466374,1791,260.4
2019,134013,2314,57.91
2020,1020326,3033,336.41
2021,616701,2275,271.08
2022,326208,5942,54.9
2023,97539,5820,16.76
2024,75882,8111,9.36
