state,no fires,no acres
al,2710,40975
ak,595,3110976
az,1432,124165
ar,1903,39028
ca,7884,309287
co,835,45732
ct,150,347
fl,2784,164774
ga,3621,25017
id,1088,436733
il,32,298
in,49,1643
ks,67,84015
ky,1280,59199
la,1259,24475
me,730,425
md,117,3139
ma,1192,1756
mi,376,3522
mn,713,3715
ms,1980,53170
mo,136,4968
mt,2087,137509
ne,568,76534
nv,506,58402
nh,103,381
nj,1165,15532
nm,748,859906
ny,162,1313
nc,6222,28851
nd,111,1509
oh,724,3063
ok,2811,385133
or,2117,456082
pa,951,2588
ri,76,44
sc,22,677
sd,527,42148
tn,1225,15059
tx,12571,671800
ut,945,27245
vt,86,83
va,558,9956
wa,1492,173659
wv,893,20275
wi,923,881
wy,443,25766
